"left"	"right"	"id"	"rho"	"name"
85315	84188	"TERM_WC-1138"	"0"	"TERM_WC_leuO"
85315	84154	"TERM_WC-1139"	"0"	"TERM_WC_leuO"
1041141	1036933	"TERM_WC-114"	"0"	"TERM_WC_appCBA-yccB"
4604099	4604100	"TERM_WC-1140"	"0"	"TERM_WC_leuQPV"
668516	668517	"TERM_WC-1141"	"0"	"TERM_WC_leuS-lptE-holA-nadD-cobC"
3320091	3320092	"TERM_WC-1142"	"0"	"TERM_WC_leuU"
4604099	4604100	"TERM_WC-1143"	"0"	"TERM_WC_leuV"
4494515	4494409	"TERM_WC-1144"	"0"	"TERM_WC_leuX"
4257147	4255110	"TERM_WC-1145"	"0"	"TERM_WC_lexA-dinF"
248355	248356	"TERM_WC-1146"	"0"	"TERM_WC_lfhA"
