# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG12518_RNA"	"ytfR"	["ytfR", "ytfS", "b4228", "b4229", "b4485", "ECK4224"]	"mRNA"	[]	"EG12518"	["YTFR-MONOMER"]	null	[]
"EG12520_RNA"	"ytfT"	["ytfT", "b4230", "ECK4225"]	"mRNA"	[]	"EG12520"	["YTFT-MONOMER"]	null	[]
"EG12522_RNA"	"garD"	["garD", "yhaG", "b3128", "ECK3116"]	"mRNA"	[]	"EG12522"	["GALACTARDEHYDRA-MONOMER"]	null	[]
"EG12525_RNA"	"mgtA"	["mgtA", "atmA", "corB", "mgt", "mtg", "b4242", "ECK4237"]	"mRNA"	[]	"EG12525"	["MGTA-MONOMER"]	null	[]
"EG12539_RNA"	"idnT"	["idnT", "gntW", "yjgT", "b4265", "ECK4258"]	"mRNA"	[]	"EG12539"	["YJGT-MONOMER"]	null	[]
"EG12544_RNA"	"nanX"	["nanX", "yjhB", "b4279", "ECK4269"]	"mRNA"	[]	"EG12544"	["YJHB-MONOMER"]	null	[]
"EG12548_RNA"	"yjhF"	["yjhF", "b4296", "ECK4285"]	"mRNA"	[]	"EG12548"	["YJHF-MONOMER"]	null	[]
"EG12554_RNA"	"sgcA"	["sgcA", "yjhL", "b4302", "ECK4291"]	"mRNA"	[]	"EG12554"	["SGCA-MONOMER"]	null	[]
"EG12556_RNA"	"sgcC"	["sgcC", "yjhN", "b4304", "ECK4293"]	"mRNA"	[]	"EG12556"	["SGCC-MONOMER"]	null	[]
"EG12557_RNA"	"sgcX"	["sgcX", "yjhO", "b4305", "ECK4295"]	"mRNA"	[]	"EG12557"	["SGCB-MONOMER"]	null	[]
