"TF"	"geneId"	"oneComponentId"	"twoComponentId"	"nonMetaboliteBindingId"	"activeId"	"_notes"
"ycjN"	"G6648"					
"ycjO"	"G6649"					
"ycjP"	"G6650"					
"ycjQ"	"G6651"					
"ycjR"	"G6652"					
"ycjS"	"G6653"					
"ycjT"	"G6654"					
"ycjU"	"G6655"					
"ycjV"	"G6656"					
"ycjX"	"G6659"					
"ycjF"	"EG12870"					
"tpx"	"G6660"					
"ycjY"	"G6663"					
"ynaI"	"G6666"					
"ynaJ"	"G6668"					
"uspE"	"EG11246"					
"ogt"	"EG10668"					
"abgT"	"EG12853"					
"abgB"	"G6669"					
"abgA"	"G6670"					
"smrA"	"G6672"					
"ydaM"	"G6673"					
"ydaN"	"G6674"					
"dbpA"	"EG10210"					
"ttcA"	"G6675"					
"intR"	"G6676"					
"ydaQ"	"G6677"					
"rcbA"	"EG11901"					
"lar"	"EG11900"					
"recT"	"EG11899"					
"recE"	"EG10827"					
"racC"	"EG10813"					
"kilR"	"EG12155"					
"sieB"	"EG12154"					
"ydaG"	"G6679"					
"ydaT"	"G6682"					
"ydaU"	"G6683"					
"ydaV"	"G6684"					
"ydaW"	"G6685"					
"rzpR"	"G6686"					
"ynaK"	"G6688"					
"ydaY"	"G6689"					
"ynaA"	"G6691"					
"lomR_1"	"G6692"					
"insH-5"	"G6693"					
"lomR_2"	"G6694"					
"stfR"	"G6695"					
"pinR"	"G6697"					
"ynaE"	"G6698"					
"uspF"	"G6699"					
"hslJ"	"G6702"					
"ydbH"	"G6703"					
"ynbE"	"G6704"					
"ydbL"	"G6705"					
"paaI"	"G6717"					
"paaY"	"G6721"					
"ydbA_1"	"G6722"					
"ydbA_2"	"G8204"					
"ydbC"	"EG11309"					
"ydbD"	"EG11310"					
"ynbA"	"G6727"					
"ynbB"	"G6728"					
"ynbC"	"G6729"					
"ynbD"	"G6730"					
"azoR"	"G6731"					
"hrpA"	"G6732"					
"ydcF"	"EG12110"					
"gapC_2"	"EG12103"					
"gapC_1"	"G8205"					
"cybB"	"EG10172"					
"ydcA"	"EG11219"					
"mokB"	"G6736"					
"trg"	"EG11018"					
"ydcJ"	"G6738"					
"mdoD"	"EG12859"					
"ydcH"	"EG12865"					
"rimL"	"EG10853"					
"ydcK"	"G6741"					
"tehA"	"EG11883"					
"tehB"	"EG11884"					
"ydcL"	"G6742"					
"ydcM"	"G6743"					
"ydcO"	"G6744"					
"ydcP"	"G6746"					
"yncJ"	"G6747"					
"b1437"						
"hicB"	"G6749"					
"ydcX"	"G6756"					
"ydcY"	"G6757"					
"ydcZ"	"G6758"					
"mnaT"	"G6759"					
"curA"	"G6760"					
"yncD"	"G6762"					
"yncE"	"G6763"					
"yncG"	"G6765"					
"yncH"	"G6766"					
"rhsE"	"EG10010"					
"ydcD"	"EG11760"					
"yncI"	"G6767"					
"pptA"	"EG11761"					
"yddH"	"G6769"					
"yddE"	"EG11825"					
"yddJ"	"G6771"					
"yddK"	"G6772"					
"yddL"	"G6773"					
"sra"	"EG11508"					
"bdm"	"G6776"					
"osmC"	"EG10680"					
"dosC"	"G6784"					
"yddW"	"G6785"					
"pqqL"	"EG11744"					
"yddB"	"EG11743"					
"yddA"	"EG11742"					
"ydeN"	"G6788"					
"safA"	"G6790"					
"ydeP"	"G6791"					
"ydeQ"	"G6792"					
"ydeR"	"G6793"					
"ydeS"	"G6794"					
"ydeT"	"G6795"					
"ydeU"	"G6797"					
"ydeK"	"EG11780"					
"lsrK"	"G6798"					
"lsrA"	"G6800"					
"lsrC"	"G6801"					
"lsrD"	"G6802"					
"lsrB"	"G6803"					
"lsrF"	"G6804"					
"lsrG"	"G6805"					
"yneE"	"G6807"					
"yneF"	"G6808"					
"yneG"	"G6809"					
"yneK"	"G6813"					
"marC"	"EG11637"					
"marB"	"EG11599"					
"ydeE"	"EG11640"					
"ydeH"	"EG11643"					
"ydeI"	"EG11644"					
"ydeJ"	"EG11645"					
"dcp"	"EG10212"					
"ydfZ"	"G6815"					
"ydfI"	"G6816"					
"ydfJ"	"G6817"					
"tfaQ"	"G6820"					
"ydfN"	"G6821"					
"nohA"	"EG11634"					
"ydfO"	"G6822"					
"gnsB"	"G6823"					
"ynfN"	"G6824"					
"cspI"	"G6825"					
"ydfP"	"G6826"					
"rrrQ"	"G6827"					
"ydfR"	"G6828"					
"essQ"	"G6829"					
"cspF"	"EG12205"					
"ydfT"	"G6830"					
"ydfU"	"G6831"					
"rem"	"EG11129"					
"hokD"	"EG11130"					
"relE"	"EG11131"					
"ydfV"	"G6832"					
"flxA"	"G6833"					
"ydfW"	"G6834"					
"ydfX"	"G6835"					
"ydfA"	"EG11300"					
"ydfB"	"EG11301"					
"rzpQ"	"G6826"					
"dicF"	"EG31115"					
"dicB"	"EG10227"					
"ydfD"	"EG11303"					
"ydfE"	"EG11304"					
"intQ"	"G6837"					
"rspB"	"G6838"					
"rspA"	"G6839"					
"ynfA"	"G6840"					
"ynfB"	"G6841"					
"ynfC"	"G6843"					
"ynfD"	"G6844"					
"dmsD"	"G6849"					
"ynfK"	"G6851"					
"ynfM"	"G6854"					
"asr"	"G6855"					
"ydgD"	"G6856"					
"tqsA"	"G6859"					
"ydgH"	"G6860"					
"ydgC"	"G6863"					
"rstB"	"EG11233"					
"tus"	"EG11038"					
"ydgA"	"G6865"					
"uidC"	"G6866"					
"uidB"	"EG11658"					
"uidA"	"EG11055"					
"hdhA"	"EG10425"					
"ydgJ"	"G6868"					
"cnu"	"G6869"					
"ydgK"	"G6870"					
"rsxA"	"G6871"					
"rsxB"	"G6872"					
"rsxC"	"G6873"					
"rsxD"	"G6874"					
"rsxG"	"G6875"					
"rsxE"	"G6876"					
"nth"	"EG10662"					
"gstA"	"G6878"					
"mliC"	"EG11488"					
"slyB"	"G6881"					
"ydhI"	"G6883"					
"ydhJ"	"G6884"					
"ydhK"	"G6885"					
"ydhF"	"G6887"					
"ydhL"	"G6888"					
"nemA"	"G6890"					
"rnt"	"EG11547"					
"lhr"	"EG11548"					
"ydhO"	"G6892"					
"ydhP"	"G6893"					
"ydhC"	"EG12141"					
"mdtK"	"EG12400"					
"ydhQ"	"G6894"					
"ydhR"	"G6895"					
"ydhS"	"G6896"					
"ydhT"	"G6897"					
"ydhU"	"G6898"					
"ydhX"	"G6899"					
"ydhW"	"G6900"					
"ydhV"	"G6901"					
"ydhY"	"G6902"					
"ydhZ"	"G6903"					
"ynhG"	"G6904"					
"ydiH"	"G6911"					
"ydiI"	"G6912"					
"ydiJ"	"G6913"					
"ydiK"	"G6914"					
"ydiL"	"G6915"					
"ydiM"	"G6916"					
"ydiN"	"G6917"					
"ydiF"	"EG12432"					
"ydiO"	"G6918"					
"ydiQ"	"G6920"					
"ydiR"	"G6921"					
"ydiS"	"G6922"					
"ydiT"	"G6923"					
"ppsR"	"EG11132"					
"ydiE"	"EG12391"					
"ydiU"	"G6924"					
"ydiV"	"G6925"					
"nlpC"	"EG11133"					
"pheM"	"EG11272"					
"rplT"	"EG10881"					
"rpmI"	"EG11231"					
"infC"	"EG10506"					
"arpB_1"	"G6926"					
"arpB_2"	"G6927"					
"ydiY"	"G6928"					
"ydiZ"	"G6929"					
"yniA"	"G6930"					
"yniB"	"G6931"					
"yniC"	"G6932"					
"ydjM"	"G6933"					
"ydjN"	"G6934"					
"ydjO"	"G6935"					
"cedA"	"G6936"					
"chbG"	"EG12198"					
"chbA"	"EG10142"					
"chbC"	"EG10141"					
"chbB"	"EG10140"					
"cho"	"G6937"					
"ves"	"G6938"					
"spy"	"G6939"					
"xthA"	"EG11073"					
"ydjX"	"G6945"					
"ydjY"	"G6946"					
"ydjZ"	"G6947"					
"ynjA"	"G6948"					
"ynjB"	"G6949"					
"ynjC"	"G6950"					
"ynjD"	"G6951"					
"ynjE"	"G6952"					
"ynjF"	"G6953"					
"ynjH"	"G6955"					
"ynjI"	"G6956"					
"topB"	"EG11014"					
"ydjA"	"EG11134"					
"sppA"	"EG10968"					
"ydjE"	"EG12369"					
"ydjG"	"G6958"					
"ydjH"	"G6959"					
"ydjJ"	"G6961"					
"ydjK"	"G6962"					
"ydjL"	"G6963"					
"yeaC"	"G6964"					
"yeaD"	"G6966"					
"mipA"	"G6968"					
"yeaG"	"G6969"					
"yeaH"	"G6970"					
"yeaI"	"G6971"					
"yeaJ"	"G6972"					
"yeaK"	"G6973"					
"yoaI"	"G6974"					
"yeaL"	"G6975"					
"yeaN"	"G6977"					
"yeaO"	"G6978"					
"yoaF"	"G6979"					
"yeaP"	"G6980"					
"yeaQ"	"G6981"					
"yoaG"	"G6982"					
"yeaR"	"G6983"					
"leuE"	"G6984"					
"yeaW"	"G6988"					
"yeaX"	"G6989"					
"rnd"	"EG10858"					
"yeaY"	"G6990"					
"tsaB"	"G6991"					
"yoaA"	"G6992"					
"yoaB"	"G6993"					
"yoaC"	"G6994"					
"yoaH"	"G6995"					
"nudL"	"EG12693"					
"yoaD"	"G6996"					
"yoaE"	"G6997"					
"yobD"	"G6998"					
"mntP"	"G6999"					
"rlmA"	"EG12207"					
"yobF"	"G7000"					
"yebO"	"G7001"					
"mgrB"	"G7002"					
"yebQ"	"G7004"					
"htpX"	"EG10462"					
"prc"	"EG10760"					
"proQ"	"EG12866"					
"msrC"	"G7005"					
"yebS"	"G7006"					
"yebT"	"G7007"					
"rsmF"	"G7008"					
"yebV"	"G7009"					
"yebW"	"G7010"					
"pphA"	"G7011"					
"yebY"	"G7012"					
"yebZ"	"G7013"					
"yobA"	"G7014"					
"holE"	"EG11505"					
"yobB"	"G7015"					
"exoX"	"G7016"					
"ptrB"	"EG11004"					
"yebE"	"EG11806"					
"yebF"	"EG11807"					
"yebG"	"EG11808"					
"yebA"	"EG10013"					
"ruvB"	"RUVB"					
"ruvA"	"RUVA"					
"yebB"	"EG11136"					
"ruvC"	"EG10925"					
"yebC"	"EG11137"					
"yecD"	"EG12378"					
"yecE"	"EG12379"					
"yecN"	"G7019"					
"cmoA"	"G7020"					
"cmoB"	"G7021"					
"cutC"	"G7024"					
"yecM"	"G7025"					
"yecT"	"G7026"					
"flhE"	"G7027"					
"flhA"	"G370"					
"flhB"	"G7028"					
"cheZ"	"EG10151"					
"cheY"	"EG10150"					
"cheB"	"EG10147"					
"cheR"	"EG10148"					
"tap"	"EG10987"					
"tar"	"EG10988"					
"cheW"	"EG10149"					
"cheA"	"EG10146"					
"motB"	"EG10602"					
"motA"	"EG10601"					
"uspC"	"G7031"					
"araH"	"EG10059"					
"ftnB"	"G7033"					
"b1903"						
"yecR"	"G7035"					
"ftnA"	"EG10921"					
"yecH"	"G7036"					
"yecA"	"EG11139"					
"uvrC"	"EG11063"					
"yecF"	"EG12861"					
"yecC"	"EG12347"					
"yecS"	"G7037"					
"fliY"	"G7039"					
"fliC"	"EG10321"					
"fliD"	"EG10841"					
"fliS"	"EG11388"					
"fliT"	"EG11389"					
"yedD"	"EG11659"					
"yedE"	"EG11660"					
"yedF"	"EG11661"					
"yedK"	"EG11662"					
"yedL"	"G7040"					
"yedN_2"	"G7041"					
"yedN_1"	"G7042"					
"yedM"	"G7043"					
"intG"	"G7044"					
"fliE"	"EG11346"					
"fliF"	"EG11347"					
"fliG"	"EG11654"					
"fliH"	"EG11656"					
"fliI"	"G377"					
"fliJ"	"G378"					
"fliK"	"G379"					
"fliL"	"EG10322"					
"fliM"	"EG10323"					
"fliN"	"EG10324"					
"fliO"	"EG11224"					
"fliP"	"EG11975"					
"fliQ"	"EG11976"					
"fliR"	"EG11977"					
"dsrB"	"G7045"					
"yodD"	"G7046"					
"dsrA"	"G7047"					
"yedP"	"G7048"					
"yedQ"	"G7049"					
"yodC"	"G7050"					
"yedI"	"EG12709"					
"yedA"	"EG11141"					
"vsr"	"EG11068"					
"dcm"	"EG10211"					
"yedJ"	"EG12710"					
"yedR"	"G7051"					
"yedS_1"	"G7052"					
"yedS_2"	"G7053"					
"yedS_3"	"G7054"					
"hchA"	"G7055"					
"yedV"	"G7056"					
"yedX"	"G7058"					
"yedY"	"G7059"					
"yedZ"	"G7060"					
"zinT"	"G7061"					
"yodB"	"G7062"					
"mtfA"	"G7063"					
"yeeJ"	"G7064"					
"yeeL_2"	"G7065"					
"yeeL_1"	"G7066"					
"yeeN"	"G7068"					
"yeeO"	"G7070"					
"erfK"	"G7073"					
"yoeA"	"G7075"					
"yoeE"	"G7078"					
"yeeP"	"G7079"					
"flu"	"G7080"					
"yeeR"	"G7081"					
"yeeS"	"G7082"					
"yeeT"	"G7083"					
"cbeA"	"G7084"					
"cbtA"	"G7085"					
"yeeW"	"G7086"					
"yeeX"	"G7087"					
"yeeA"	"EG11891"					
"sbmC"	"EG11892"					
"sbcB"	"EG10926"					
"yeeD"	"EG11894"					
"yeeE"	"EG11895"					
"plaP"	"EG11896"					
"yeeZ"	"G7089"					
"hisL"	"EG11269"					
"wbbL_1"	"EG11986"					
"galF"	"G7093"					
"wcaM"	"G7094"					
"wcaL"	"G7095"					
"wzxC"	"G7097"					
"wcaJ"	"G7098"					
"wcaI"	"EG11790"					
"wcaF"	"G7099"					
"wcaE"	"G7100"					
"wcaD"	"G7101"					
"wcaC"	"G7102"					
"wcaB"	"G7103"					
"wcaA"	"G7104"					
"wzc"	"G7105"					
"wzb"	"G7106"					
"wza"	"G7107"					
"yegH"	"G7108"					
"asmA"	"EG11361"					
"yegE"	"EG12396"					
"alkA"	"EG11222"					
"yegD"	"EG12200"					
"yegI"	"G7109"					
"yegJ"	"G7110"					
"yegK"	"G7111"					
"yegL"	"G7112"					
"mdtA"	"G7113"					
"mdtB"	"G7114"					
"mdtC"	"G7115"					
"mdtD"	"EG12136"					
"baeS"	"EG11617"					
"yegP"	"G7117"					
"yegQ"	"G7118"					
"yegZ"	"G7120"					
"b2084"						
"yegR"	"G7122"					
"yegS"	"G7123"					
"gatR_2"	"EG12162"					
"yegT"	"G7130"					
"yegU"	"G7131"					
"yegV"	"G7132"					
"yegX"	"G7134"					
"rcnA"	"G7138"					
"rcnB"	"G7139"					
"yehA"	"EG11987"					
"yehB"	"EG11988"					
"yehC"	"EG11989"					
"yehD"	"EG11990"					
"yehE"	"EG11991"					
"mrp"	"EG10611"					
"molR_1"	"EG11992"					
"molR_2"	"G8208"					
"molR_3"	"G8209"					
"yehI"	"EG11995"					
"yehL"	"EG11998"					
"yehM"	"EG11999"					
"yehP"	"EG12002"					
"yehQ"	"EG12003"					
"yehR"	"EG12004"					
"yehS"	"EG12005"					
"yehU"	"EG12007"					
"yohC"	"EG12016"					
"yohD"	"EG12017"					
"yohF"	"EG12019"					
"mdtQ"	"EG12020"					
"yohH"	"EG12021"					
"dusC"	"EG12022"					
"yohJ"	"EG12023"					
"yohK"	"EG12024"					
"sanA"	"EG12025"					
"yeiS"	"G7144"					
"yeiB"	"EG11290"					
"yeiH"	"EG12027"					
"nfo"	"EG10651"					
"yeiI"	"EG12028"					
"nupX"	"EG12029"					
"yeiM"	"EG12032"					
"psuG"	"EG12033"					
"psuK"	"EG11646"					
"yeiP"	"EG12035"					
"yeiQ"	"EG12036"					
"yeiR"	"EG12104"					
"spr"	"G7147"					
"rtn"	"G7148"					
"yejA"	"EG12037"					
"yejB"	"EG12038"					
"yejE"	"EG12040"					
"yejF"	"EG12041"					
"yejG"	"EG12042"					
"bcr"	"EG11419"					
"rsuA"	"EG12044"					
"yejH"	"EG12045"					
"rplY"	"EG10885"					
"yejK"	"EG12048"					
"yejL"	"EG12043"					
"yejM"	"EG12049"					
"yejO"	"EG12051"					
"ccmH"	"EG12052"					
"ccmG"	"EG12053"					
"ccmF"	"EG12054"					
"napD"	"EG12143"					
"napF"	"EG12068"					
"eco"	"EG10255"					
"yojI"	"EG12070"					
"alkB"	"EG10037"					
"apbE"	"EG12073"					
"rcsD"	"EG12385"					
"rcsC"	"EG10822"					
"atoS"	"EG11667"					
"yfaP"	"G7152"					
"yfaQ"	"G7153"					
"yfaS_2"	"G7154"					
"yfaS_1"	"G7155"					
"yfaT"	"G7156"					
"yfaA"	"EG11142"					
"gyrA"	"EG10423"					
"yfaL"	"EG12850"					
"yfaE"	"EG12360"					
"inaA"	"EG11422"					
"yfaH"	"EG12881"					
"yfaD"	"EG12323"					
"yfaW"	"G7160"					
"yfaY"	"G7162"					
"yfaZ"	"G7163"					
"ais"	"G7165"					
"pmrD"	"G7172"					
"elaB"	"G7173"					
"elaA"	"G7174"					
"ecoZ"	"G7175"					
"elaD"	"G7176"					
"yfbK"	"G7177"					
"yfbL"	"G7178"					
"yfbM"	"G7179"					
"yfbN"	"G7180"					
"yfbO"	"G7181"					
"yfbP"	"G7182"					
"yfbS"	"G7186"					
"yfbT"	"G7187"					
"yfbU"	"G7188"					
"yfbV"	"G7189"					
"yfcC"	"G7190"					
"yfcD"	"G7191"					
"yfcE"	"G7192"					
"yfcF"	"G7193"					
"yfcG"	"G7194"					
"yfcH"	"G7196"					
"yfcI"	"G7197"					
"cvpA"	"EG10169"					
"dedD"	"EG10218"					
"dedA"	"EG10216"					
"truA"	"EG10454"					
"usg"	"EG11059"					
"flk"	"EG10229"					
"yfcJ"	"G7198"					
"mnmC"	"G7199"					
"yfcL"	"G7200"					
"epmC"	"G7201"					
"yfcA"	"EG11144"					
"prmB"	"EG12449"					
"smrB"	"G7202"					
"yfcO"	"G7203"					
"yfcP"	"G7204"					
"yfcQ"	"G7205"					
"yfcR"	"G7206"					
"yfcS"	"G7207"					
"yfcT"	"G7208"					
"yfcU"	"G7209"					
"yfcV"	"G7210"					
"sixA"	"G7211"					
"yfcZ"	"G7214"					
"yfdF"	"G7215"					
"mlaA"	"G7216"					
"yfdC"	"G7217"					
"intS"	"G7218"					
"yfdG"	"G7219"					
"yfdH"	"G7220"					
"yfdI"	"G7221"					
"tfaS"	"G7222"					
"yfdK"	"G7223"					
"yfdL"	"G7224"					
"yfdM"	"G7225"					
"yfdN"	"G7226"					
"yfdO"	"G7227"					
"yfdP"	"G7228"					
"yfdQ"	"G7229"					
"yfdR"	"G7230"					
"yfdS"	"G7231"					
"yfdT"	"G7232"					
"emrY"	"EG13283"					
"emrK"	"G7233"					
"evgS"	"EG11610"					
"yfdE"	"G7234"					
"yfdV"	"G7235"					
"yfdX"	"G7238"					
"ypdI"	"G7239"					
"yfdY"	"G7240"					
"ypdA"	"G7243"					
"fryA"	"G7246"					
"ypdE"	"G7247"					
"ypdF"	"G7248"					
"fryC"	"G7249"					
"fryB"	"G7250"					
"yfeO"	"G7251"					
"ypeC"	"G7252"					
"yfeA"	"EG11145"					
"yfeN"	"G7256"					
"yfeH"	"EG12376"					
"zipA"	"G7258"					
"cysZ"	"EG10003"					
"yfeK"	"G7260"					
"yfeS"	"G7261"					
"ucpA"	"EG12133"					
"yfeW"	"G7265"					
"yfeX"	"G7266"					
"yfeY"	"G7267"					
"yfeZ"	"G7268"					
"ypeA"	"G7269"					
"eutK"	"G7270"					
"eutL"	"G7271"					
"intZ"	"G7272"					
"yffL"	"G7273"					
"yffM"	"G7274"					
"yffN"	"G7275"					
"yffO"	"G7276"					
"yffP"	"G7277"					
"yffQ"	"G7278"					
"yffR"	"G7279"					
"yffS"	"G7280"					
"eutA"	"G7281"					
"eutH"	"G7282"					
"eutG"	"G7283"					
"eutJ"	"G7284"					
"eutE"	"G7285"					
"eutN"	"G7286"					
"eutM"	"G7287"					
"eutT"	"G7289"					
"eutQ"	"G7290"					
"eutP"	"G7291"					
"eutS"	"G7292"					
"ypfG"	"G7295"					
"aegA"	"EG12409"					
"narQ"	"EG11460"					
"yffB"	"EG11147"					
"ypfH"	"G7296"					
"tmcA"	"G7297"					
"ypfJ"	"G7298"					
"bamC"	"EG10658"					
"yfgO"	"G7310"					
"yfgC"	"G7311"					
"yfgD"	"G7312"					
"hda"	"G7313"					
"yfgF"	"G7314"					
"yfgG"	"G7315"					
"yfgH"	"G7316"					
"yfgI"	"G7317"					
"xseA"	"EG11072"					
"yfgJ"	"G7318"					
"der"	"G7319"					
"bamB"	"G7320"					
"yfgM"	"G7321"					
"rodZ"	"EG10015"					
"rlmN"	"EG12401"					
"yfhM"	"G7323"					
"sseB"	"EG11601"					
"iscX"	"EG12311"					
"fdx"	"EG11328"					
"hscA"	"EG12130"					
"hscB"	"EG12131"					
"trmJ"	"G7327"					
"yfhR"	"G7328"					
"csiE"	"G7329"					
"yphA"	"G7337"					
"yphB"	"G7338"					
"yphC"	"G7339"					
"yphD"	"G7340"					
"yphE"	"G7341"					
"yphF"	"G7342"					
"yphG"	"G7343"					
"glnB"	"EG10384"					
"yfhG"	"EG12139"					
"glrK"	"G7345"					
"tadA"	"EG11372"					
"pgpC"	"EG11371"					
"yfhL"	"G7346"					
"recO"	"EG10832"					
"era"	"EG10270"					
"rnc"	"EG10857"					
"lepB"	"EG10530"					
"lepA"	"EG10529"					
"rseA"	"EG12341"					
"yfiC"	"EG11538"					
"srmB"	"EG10975"					
"ung"	"EG11058"					
"yfiF"	"EG11786"					
"yfiP"	"G7349"					
"pka"	"G7350"					
"yfiM"	"EG12857"					
"rrlG"	"EG30082"					
"rrsG"	"EG30089"					
"clpB"	"EG10157"					
"yfiH"	"EG12097"					
"rluD"	"EG12098"					
"bamD"	"G7352"					
"b2596"						
"raiA"	"EG11151"					
"pheL"	"EG11271"					
"yfiL"	"EG12446"					
"yfiR"	"G7354"					
"yfiN"	"EG12880"					
"yfiB"	"EG11152"					
"rplS"	"EG10880"					
"trmD"	"EG11023"					
"rimM"	"EG11153"					
"rpsP"	"EG10915"					
"ffh"	"EG10300"					
"ypjD"	"G7355"					
"grpE"	"EG10416"					
"recN"	"EG10831"					
"bamE"	"EG10952"					
"ratB"	"G7357"					
"ratA"	"G7358"					
"smpB"	"EG11782"					
"ssrA"	"EG30100"					
"intA"	"EG11783"					
"yfjH"	"G7359"					
"yfjI"	"G7360"					
"yfjJ"	"G7361"					
"yfjK"	"G7362"					
"yfjL"	"G7363"					
"yfjM"	"G7364"					
"rnlA"	"G7365"					
"rnlB"	"G7366"					
"yfjP"	"G7367"					
"yfjQ"	"G7368"					
"yfjS"	"G7371"					
"yfjT"	"G7372"					
"yfjU"	"G7373"					
"ypjM_3"	"G7374"					
"ypjM_2"	"G7375"					
"ypjM_1"	"G7376"					
"yfjW"	"G7377"					
"yfjX"	"G7378"					
"yfjY"	"G7379"					
"yfjZ"	"G7380"					
"ypjF"	"G7381"					
"ypjA"	"G7382"					
"pinH"	"G7383"					
"ypjB"	"G7384"					
"ypjC"	"G7385"					
"ygaQ_1"	"G7389"					
"ygaQ_3"	"G7392"					
"ygaQ_4"	"G7393"					
"csiD"	"G7394"					
"lhgO"	"EG12387"					
"ygaU"	"G7395"					
"yqaE"	"G7396"					
"ygaP"	"G7398"					
"alaE"	"G7399"					
"ygaC"	"EG12201"					
"ygaM"	"G7400"					
"nrdH"	"G7401"					
"nrdI"	"G7402"					
"ygaX"	"G7403"					
"ygaY"	"G7404"					
"emrA"	"EG11354"					
"emrB"	"EG11439"					
"yqaA"	"G7407"					
"csrA"	"EG11447"					
"recX"	"EG12080"					
"recA"	"EG10823"					
"pncC"	"G7409"					
"hypF"	"EG11551"					
"hydN"	"EG11552"					
"ascB"	"EG10085"					
"hycI"	"G7414"					
"hycH"	"EG10481"					
"hypA"	"EG10483"					
"hypB"	"EG10484"					
"hypC"	"EG10485"					
"hypD"	"EG10486"					
"hypE"	"EG10487"					
"ygbA"	"EG11287"					
"mutS"	"EG10625"					
"pphB"	"G7415"					
"ygbJ"	"G7417"					
"ygbK"	"G7418"					
"ygbM"	"G7420"					
"ygbN"	"G7421"					
"nlpD"	"EG12111"					
"pcm"	"EG10689"					
"truD"	"G7422"					
"ftsB"	"G7424"					
"ygbE"	"EG12707"					
"iap"	"EG10488"					
"cas2"	"EG12845"					
"cas1"	"G7425"					
"casE"	"G7426"					
"casD"	"G7427"					
"casC"	"G7428"					
"casB"	"G7429"					
"casA"	"G7430"					
"cas3"	"EG12634"					
"ygcN"	"G7432"					
"ygcO"	"G7433"					
"ygcP"	"G7434"					
"ygcQ"	"G7435"					
"ygcR"	"G7436"					
"ygcS"	"G7437"					
"ygcW"	"G7440"					
"yqcE"	"EG13174"					
"ygcE"	"G7442"					
"queE"	"G7443"					
"ygcG"	"G7444"					
"mazF"	"EG11249"					
"mazE"	"EG10571"					
"rlmD"	"EG11247"					
"barA"	"EG11367"					
"yqcA"	"G7448"					
"truC"	"G7449"					
"yqcC"	"G7450"					
"syd"	"G7451"					
"ygdH"	"EG12373"					
"ygdG"	"EG12372"					
"fucU"	"EG10355"					
"rlmM"	"EG11794"					
"ygdD"	"EG11793"					
"ygdI"	"G7453"					
"csdE"	"G7455"					
"csdL"	"G7456"					
"recD"	"EG10826"					
"recB"	"EG10824"					
"ptrA"	"EG10786"					
"recC"	"EG10825"					
"ppdC"	"EG11154"					
"ygdB"	"EG11155"					
"ppdB"	"EG11156"					
"ppdA"	"EG12081"					
"lgt"	"EG12128"					
"ptsP"	"EG12188"					
"rppH"	"G7459"					
"mutH"	"EG10624"					
"ygdQ"	"G7460"					
"ygdR"	"G7461"					
"tas"	"G7462"					
"ygeA"	"EG11157"					
"kduD"	"EG12361"					
"kduI"	"G7463"					
"yqeF"	"G7464"					
"yqeG"	"G7465"					
"yqeH"	"G7466"					
"yqeI"	"G7467"					
"yqeJ"	"G7468"					
"yqeK"	"G7469"					
"ygeF"	"G7470"					
"ygeG"	"G7471"					
"ygeI"	"G7473"					
"pbl"	"G7474"					
"ygeM"	"G7477"					
"ygeN"	"G7478"					
"ygeO"	"G7479"					
"ygeP"	"G7482"					
"ygeQ"	"G7483"					
"ygeR"	"G7484"					
"ygeW"	"G7489"					
"ygeY"	"G7491"					
"hyuA"	"G7492"					
"yqeB"	"G7494"					
"yqeC"	"G7495"					
"ygfK"	"G7497"					
"ssnA"	"G7498"					
"ygfM"	"G7499"					
"xdhD"	"G7500"					
"ygfS"	"G7505"					
"ygfT"	"G7506"					
"uacT"	"G7507"					
"prfB"	"EG10762"					
"recJ"	"EG10830"					
"xerD"	"EG11071"					
"cptA"	"G7509"					
"cptB"	"G7510"					
"ygfZ"	"G7511"					
"yqfA"	"G7512"					
"yqfB"	"G7513"					
"ygfF"	"G7514"					
"visC"	"EG11333"					
"pepP"	"EG10697"					
"ygfB"	"EG11323"					
"zapA"	"EG12878"					
"ssrS"	"EG30099"					
"yqfE"	"G7515"					
"argK"	"EG11445"					
"yggE"	"EG11244"					
"mscS"	"EG11160"					
"yggC"	"EG11161"					
"cmtA"	"EG11792"					
"cmtB"	"EG11791"					
"loiP"	"EG11291"					
"yqgB"	"G7521"					
"yqgC"	"G7522"					
"yqgD"	"G7523"					
"yggI"	"EG12122"					
"endA"	"EG11336"					
"rsmE"	"EG12366"					
"yqgE"	"G7524"					
"yqgF"	"G7525"					
"yggR"	"G7526"					
"yggS"	"G7527"					
"yggT"	"G7528"					
"yggU"	"G7529"					
"yggW"	"G7531"					
"yggM"	"EG12704"					
"yggN"	"EG12705"					
"yggL"	"EG12443"					
"trmI"	"EG11779"					
"mutY"	"EG10627"					
"yggX"	"G7532"					
"yqgA"	"G7534"					
"yghD"	"G7535"					
"yghE"	"G7536"					
"yghF"	"G7537"					
"yghG"	"G7538"					
"pppA"	"G7539"					
"glcG"	"G7543"					
"yghQ"	"G7549"					
"yghR"	"G7550"					
"yghS"	"G7551"					
"yghT"	"G7552"					
"yghU"	"G7553"					
"hybG"	"EG11805"					
"hybF"	"EG11804"					
"hybE"	"EG11803"					
"hybD"	"EG11802"					
"yghW"	"G7555"					
"yghX_1"	"G7556"					
"yghX_2"	"G7557"					
"yqhA"	"G7559"					
"yghA"	"EG11292"					
"b3004"						
"b3007"						
"yghB"	"EG11824"					
"yqhD"	"G7564"					
"yqhG"	"G7566"					
